Minutes,T1,T2
189,2325.2,4354.4
190,2335.1,4353.6
191,2331.9,4350.6
192,2337.3,4357.4
193,2339.4,4361.1
194,2324.9,4348.3
195,2335.0,4352.2
196,2329.6,4360.7
197,2328.1,4363.5
198,2337.5,4355.3
199,2324.9,4340.7
200,2335.0,4353.3
201,2334.4,4354.0
202,2323.2,4352.4
203,2332.9,4350.2
204,2334.4,4357.1
205,2335.6,4359.4
206,2324.9,4357.1
207,2338.6,4359.5
208,2327.3,4350.8
209,2325.2,4354.5
210,2323.5,4359.2
211,2329.4,4366.7
212,2335.0,4353.6
213,2331.7,4352.2
214,2327.1,4352.3
215,2338.6,4355.3
216,2326.6,4366.1
217,2328.5,4351.5
218,2319.9,4350.8
219,2332.2,4356.8
220,2333.3,4355.3
221,2329.9,4356.1
222,2328.1,4346.4
223,2329.6,4348.6
224,2332.7,4356.6
225,2335.8,4355.6
226,2330.7,4344.6
227,2327.0,4364.2
228,2328.0,4351.2
229,2337.3,4350.5
230,2330.0,4355.8
231,2323.8,4354.0
232,2326.2,4368.8
233,2332.3,4350.3
234,2336.3,4349.8
235,2334.6,4352.1
236,2330.0,4352.7
237,2326.6,4353.3
238,2331.4,4352.0
239,2332.9,4357.0
240,2322.6,4353.3
241,2328.8,4353.9
242,2335.8,4354.3
243,2336.6,4348.5
244,2336.0,4354.7
245,2327.2,4344.6
246,2332.3,4358.6
247,2335.1,4352.2
248,2326.8,4352.0
249,2320.6,4353.4
250,2334.8,4363.6
251,2330.9,4360.0
252,2323.5,4366.9
253,2324.8,4354.2
254,2334.1,4354.5
255,2343.8,4355.1
256,2320.5,4346.1
257,2331.9,4353.9
258,2332.5,4348.8
259,2328.3,4351.4
260,2329.3,4357.8
261,2342.3,4349.0
262,2331.6,4351.0
263,2329.1,4346.8
264,2329.2,4355.0
265,2335.8,4352.0
266,2332.9,4353.9
267,2327.1,4352.5
268,2335.6,4354.0
269,2332.7,4365.1
270,2329.5,4353.0
271,2328.9,4356.8
272,2324.4,4357.8
273,2324.6,4366.8
274,2323.9,4357.7
275,2325.7,4345.0
276,2337.3,4350.8
277,2335.1,4353.6
278,2329.9,4360.4
279,2330.2,4354.1
280,2337.1,4348.9
281,2326.2,4355.5
282,2335.9,4354.3
283,2334.9,4346.4
284,2332.6,4357.0
285,2325.4,4356.2
286,2330.8,4353.7
287,2330.2,4356.0
288,2335.4,4354.6
289,2329.4,4351.7
290,2337.4,4356.6
291,2325.6,4347.4
292,2334.3,4356.6
293,2336.6,4361.8
294,2329.8,4358.5
295,2325.5,4348.9
296,2336.5,4352.4
297,2332.8,4348.5
298,2333.4,4354.0
299,2329.6,4359.6
300,2330.1,4351.1
301,2322.0,4358.6
302,2329.2,4350.2
303,2326.6,4355.5
304,2335.0,4355.4
305,2338.2,4354.6
306,2337.3,4361.5
307,2336.0,4355.5
308,2325.3,4347.6
309,2343.4,4349.9
310,2333.9,4345.8
311,2326.0,4360.4
312,2324.7,4349.8
313,2332.0,4356.5
314,2326.4,4344.0
315,2328.7,4354.2
316,2324.5,4354.3
317,2331.4,4358.7
318,2332.0,4353.2
319,2333.5,4353.2
320,2322.5,4351.4
321,2329.4,4353.2
322,2342.8,4358.8
323,2335.4,4360.9
324,2327.2,4347.7
325,2337.6,4354.6
326,2335.0,4355.1
327,2322.9,4359.3
328,2332.2,4354.5
329,2331.5,4364.7
330,2329.7,4361.3
331,2330.2,4358.4
332,2338.7,4352.4
333,2331.8,4355.5
334,2327.2,4349.6
335,2327.5,4362.5
336,2325.3,4357.7
337,2325.6,4350.9
338,2326.8,4360.1
339,2329.8,4352.8
340,2323.5,4361.5
341,2333.9,4364.4
342,2330.5,4356.1
343,2323.8,4357.7
344,2333.5,4356.2
345,2337.3,4353.5
346,2328.0,4347.3
347,2338.9,4354.6
348,2330.6,4346.8
349,2330.5,4358.3
350,2324.4,4366.4
351,2331.3,4350.0
352,2333.4,4350.1
353,2334.0,4350.5
354,2334.8,4358.9
355,2326.2,4347.1
356,2338.2,4358.2
357,2331.5,4357.7
358,2323.7,4350.6
359,2341.7,4354.7
360,2320.5,4352.4
361,2318.9,4354.6
362,2324.3,4351.7
363,2338.8,4346.8
364,2321.2,4358.9
365,2341.0,4356.2
366,2332.1,4360.8
367,2339.4,4348.0
368,2320.9,4357.5
369,2329.4,4356.5
370,2328.3,4357.3
371,2340.6,4356.2
372,2326.7,4359.8
373,2343.3,4351.8
374,2324.3,4356.7
375,2332.2,4352.0
376,2329.3,4359.3
377,2325.4,4366.5
378,2339.8,4362.7
379,2335.4,4347.9
380,2325.9,4357.2
381,2332.4,4360.2
382,2326.5,4362.2
383,2330.1,4357.1
384,2332.5,4357.2
385,2330.6,4353.8
386,2338.1,4353.0
387,2325.7,4360.0
388,2333.7,4362.9
389,2328.1,4352.4
390,2323.6,4356.8
391,2327.3,4357.5
392,2337.2,4361.0
393,2334.7,4357.4
394,2343.5,4359.1
395,2330.4,4348.9
396,2330.8,4359.2
397,2336.5,4355.7
398,2332.9,4362.9
399,2323.6,4351.1
400,2325.9,4361.9
401,2325.6,4345.1
402,2330.9,4353.6
403,2324.6,4349.8
404,2318.1,4354.9
405,2327.6,4365.1
406,2322.3,4347.0
407,2328.6,4352.5
408,2326.7,4344.7
409,2333.4,4347.2
410,2337.8,4341.1
411,2340.0,4353.0
412,2332.4,4360.3
413,2332.2,4359.4
414,2333.0,4352.9
415,2339.1,4352.4
416,2331.4,4360.5
417,2333.6,4359.1
418,2334.7,4355.8
419,2340.2,4351.0
420,2336.7,4354.6
421,2342.7,4372.8
422,2334.4,4361.2
423,2337.1,4370.7
424,2332.0,4376.1
425,2333.2,4377.1
426,2339.0,4364.2
427,2326.1,4370.8
428,2340.8,4371.7
429,2325.6,4375.0
430,2332.0,4370.4
431,2326.9,4370.4
432,2329.0,4358.0
433,2336.5,4382.6
434,2335.5,4373.8
435,2325.1,4361.0
436,2336.1,4371.9
437,2331.3,4366.6
438,2323.6,4366.5
439,2327.1,4371.9
440,2325.1,4363.1
441,2329.1,4372.4
442,2332.2,4371.1
443,2332.3,4376.1
444,2330.9,4373.1
445,2326.3,4374.5
446,2329.6,4363.6
447,2330.0,4368.1
448,2328.6,4376.3
449,2320.0,4377.6
450,2327.7,4355.6
451,2331.2,4361.6
452,2328.9,4367.2
453,2327.0,4370.9
454,2323.9,4368.0
455,2326.0,4362.8
456,2323.4,4376.0
457,2335.6,4372.8
458,2323.5,4377.4
459,2338.3,4365.3
460,2335.9,4370.0
461,2326.7,4372.8
462,2332.7,4378.2
463,2336.7,4366.7
464,2327.6,4374.3
465,2323.5,4374.3
466,2333.2,4370.7
467,2333.6,4384.1
468,2335.6,4371.3
469,2330.6,4372.0
470,2322.9,4372.9
471,2339.8,4367.5
472,2330.8,4378.0
473,2328.5,4383.0
474,2329.8,4373.0
475,2325.3,4362.0
476,2333.6,4371.8
477,2336.2,4366.8
478,2336.3,4375.7
479,2324.6,4363.3
480,2334.7,4374.2
481,2338.8,4369.8
482,2331.4,4366.0
483,2332.7,4372.4
484,2331.2,4378.8
485,2329.7,4363.6
486,2339.9,4376.2
487,2330.2,4374.4
488,2341.4,4374.3
489,2336.7,4378.4
490,2330.3,4377.4
491,2318.4,4377.2
492,2332.2,4356.9
493,2339.0,4369.7
494,2330.6,4367.7
495,2340.7,4371.9
496,2331.6,4362.6
497,2327.9,4368.7
498,2338.7,4368.9
499,2337.0,4365.9
500,2326.4,4375.6
501,2335.4,4373.4
502,2330.7,4367.2
503,2334.9,4372.2
504,2330.5,4365.7
505,2327.4,4375.7
506,2334.3,4371.4
507,2324.4,4375.0
508,2329.3,4369.6
509,2321.8,4368.0
510,2335.2,4371.3
511,2332.0,4374.4
512,2330.6,4379.4
513,2329.2,4363.4
514,2327.5,4367.9
515,2328.2,4374.2
516,2334.1,4380.1
517,2336.6,4378.0
518,2332.1,4376.9
519,2333.6,4371.3
520,2328.6,4368.7
521,2327.5,4373.8
522,2329.8,4378.7
523,2330.8,4365.5
524,2337.3,4375.9
525,2340.4,4372.2
526,2331.8,4368.5
527,2335.0,4366.4
528,2327.0,4388.7
529,2332.7,4373.1
530,2323.0,4371.4
531,2331.0,4376.2
532,2339.0,4376.2
533,2335.2,4354.2
534,2328.4,4378.0
535,2339.2,4367.8
536,2330.8,4370.7
537,2324.5,4366.6
538,2320.2,4364.2
539,2326.1,4366.6
540,2332.9,4378.2
541,2326.0,4369.3
542,2330.3,4371.8
543,2343.6,4365.1
544,2331.1,4386.3
545,2340.3,4365.2
546,2329.9,4384.3
547,2331.4,4375.3
548,2330.7,4361.6
549,2325.0,4371.7
550,2328.3,4366.9
551,2336.7,4370.8
552,2327.4,4375.4
553,2331.5,4364.8
554,2331.7,4368.3
555,2319.0,4375.7
556,2334.5,4369.4
557,2331.0,4365.6
558,2336.3,4369.9
559,2330.0,4369.6
560,2332.1,4374.2
561,2333.8,4363.7
562,2314.2,4372.4
563,2329.0,4369.6
564,2328.7,4362.6
565,2326.4,4364.5
566,2337.4,4360.1
567,2332.7,4367.6
568,2337.6,4369.0
569,2328.8,4362.5
570,2319.5,4383.3
571,2329.1,4369.9
572,2335.1,4369.4
573,2332.9,4374.9
574,2335.4,4365.4
575,2328.1,4367.6
576,2324.9,4373.6
577,2340.6,4377.1
578,2329.4,4374.5
579,2332.6,4375.9
580,2329.6,4366.4
581,2330.6,4376.7
582,2324.7,4364.1
583,2325.1,4363.3
584,2339.5,4384.1
585,2330.8,4365.0
586,2320.8,4363.3
587,2338.7,4381.2
588,2324.7,4379.0
589,2330.6,4370.4
590,2331.3,4369.2
591,2335.6,4369.7
592,2325.4,4366.0
593,2327.8,4376.3
594,2327.6,4362.8
595,2325.4,4365.7
596,2326.7,4372.5
597,2338.1,4371.4
598,2335.4,4373.6
599,2339.2,4366.2
