Minutes,T1,T2
425,2331.6,4389.0
426,2329.6,4380.9
427,2333.9,4387.0
428,2335.2,4388.3
429,2327.7,4385.8
430,2323.3,4386.6
431,2327.3,4383.3
432,2337.4,4382.5
433,2332.0,4381.8
434,2323.3,4377.7
435,2333.2,4382.5
436,2327.9,4385.7
437,2327.8,4387.3
438,2334.3,4381.9
439,2334.7,4382.0
440,2332.7,4386.9
441,2340.2,4381.0
442,2330.5,4383.6
443,2328.2,4377.1
444,2338.5,4380.7
445,2329.1,4390.9
446,2328.3,4380.5
447,2328.5,4385.7
448,2337.6,4388.4
449,2337.8,4378.8
450,2332.8,4383.8
451,2322.6,4382.8
452,2341.8,4377.9
453,2326.9,4389.4
454,2327.9,4396.7
455,2329.4,4382.9
456,2328.1,4377.5
457,2328.8,4390.3
458,2335.4,4384.8
459,2336.3,4382.0
460,2326.6,4381.6
461,2334.7,4382.4
462,2329.4,4385.8
463,2333.8,4387.1
464,2334.1,4381.4
465,2332.6,4390.8
466,2325.1,4379.0
467,2334.1,4386.2
468,2328.2,4371.6
469,2337.1,4386.8
470,2332.9,4389.4
471,2335.6,4374.2
472,2331.0,4380.8
473,2326.4,4380.0
474,2334.1,4389.6
475,2335.2,4385.1
476,2337.1,4380.4
477,2332.3,4390.6
478,2332.8,4393.4
479,2329.7,4392.4
480,2334.5,4385.3
481,2328.2,4377.5
482,2330.6,4390.0
483,2328.9,4388.0
484,2330.9,4374.0
485,2334.0,4380.8
486,2331.3,4383.5
487,2334.4,4382.2
488,2332.1,4376.0
489,2328.3,4380.2
490,2330.5,4375.8
491,2333.3,4378.0
492,2329.9,4381.4
493,2326.8,4379.5
494,2324.4,4384.4
495,2327.5,4381.0
496,2330.0,4388.8
497,2337.4,4386.1
498,2334.7,4386.4
499,2330.6,4388.9
500,2326.4,4384.9
501,2325.7,4378.8
502,2329.1,4385.4
503,2335.8,4387.2
504,2339.3,4386.1
505,2325.0,4389.5
506,2329.1,4382.3
507,2325.8,4382.9
508,2335.5,4390.3
509,2323.8,4376.0
510,2327.2,4374.5
511,2345.1,4382.0
512,2343.9,4374.9
513,2347.7,4382.2
514,2336.9,4383.5
515,2351.1,4382.8
516,2345.0,4384.3
517,2344.3,4373.8
518,2343.8,4378.5
519,2342.8,4386.7
520,2348.3,4384.9
521,2348.8,4385.4
522,2346.2,4391.3
523,2337.0,4386.1
524,2345.7,4382.0
525,2338.6,4381.8
526,2334.5,4384.9
527,2342.8,4385.8
528,2346.6,4380.8
529,2336.8,4379.6
530,2334.2,4379.2
531,2345.1,4387.8
532,2346.6,4383.2
533,2337.8,4398.7
534,2346.2,4385.4
535,2334.4,4380.6
536,2340.7,4394.8
537,2335.7,4378.9
538,2338.0,4379.8
539,2342.1,4381.6
540,2342.3,4382.2
541,2347.6,4387.0
542,2330.3,4382.6
543,2325.8,4389.8
544,2332.4,4373.4
545,2334.5,4384.7
546,2326.7,4386.2
547,2318.5,4377.5
548,2323.8,4386.4
549,2324.9,4396.0
550,2334.8,4381.7
551,2335.1,4383.4
552,2334.0,4378.7
553,2328.3,4380.6
554,2333.5,4388.1
555,2332.1,4385.3
556,2326.2,4382.0
557,2331.6,4386.0
558,2335.9,4388.3
559,2323.0,4379.9
560,2325.8,4384.0
561,2325.9,4378.0
562,2324.0,4381.7
563,2334.0,4381.9
564,2331.4,4383.9
565,2329.1,4377.7
566,2333.5,4389.5
567,2340.4,4388.5
568,2337.0,4380.8
569,2336.5,4382.7
570,2327.8,4379.3
571,2340.5,4389.3
572,2332.2,4377.7
573,2329.2,4388.3
574,2335.2,4388.9
575,2316.6,4394.9
576,2332.6,4385.4
577,2330.7,4386.0
578,2335.0,4380.2
579,2328.8,4379.0
580,2333.2,4379.9
581,2337.4,4387.9
582,2340.7,4386.7
583,2335.2,4382.1
584,2319.6,4378.5
585,2332.3,4392.2
586,2329.7,4389.0
587,2326.0,4381.6
588,2329.7,4387.8
589,2330.7,4385.2
590,2330.8,4383.8
591,2327.3,4376.8
592,2329.7,4379.5
593,2327.9,4383.5
594,2330.5,4380.4
595,2325.3,4386.6
596,2341.4,4378.2
597,2326.9,4381.7
598,2322.2,4385.8
599,2333.8,4380.2
